authors,comments,cover,isbn,pubdate,publisher,rating,series,series_index,tags,title,id
Robert Zubrin & Richard Wagner,"""Leading space exploration authority Robert Zubrin has crafted a daring new blueprint, Mars Direct, that experts are hailing as the most visionary and pragmatic step toward expanding human activity in space since the Apollo Moon landings. Presented here with illustrations, photographs, and engaging anecdotes, Dr. Zubrin's plan will revive our hopes and dreams and convince us that other worlds can be reached - affordably and within our lifetime."" ""Unlike the dead world of the Moon, the Martian landscape abounds with ancient canyons, dried river beds, the remains of frozen polar oceans, and enormous ice caps. The possibilities for exploration and discovery are nearly limitless; but significant exploration of Mars can only occur on her surface, and in order to do that we must be able to survive there. In the great tradition of human exploration, Dr. Zubrin's plan calls for a travel-light and live-off-the-land approach.",C:\Users\Joao\Calibre Library\Robert Zubrin\The Case for Mars_ The Plan to Sett (330)\cover.jpg,9781451608113,2011-06-28T14:39:00+01:00,Simon and Schuster,,,1.0,"Politics, Travel, Science, Astronomy, General, Non-Fiction, Space Science, Applied Sciences, Physics, Astrophysics, Philosophy",The Case for Mars: The Plan to Settle the Red Planet and Why We Must,330
Robert V. S. Redick,"As it reaches its thunderous conclusion. Robert V.S. Redick's stunning and original fantasy series combines the invention of Scott Lynch with the power of Philip Pullman.The mighty centuries-old ship, Chathrand is long gone ...At the centre of an enchanted forest stands a clearing. Above it looms a ruined fragment of a vast tower. At its base, a group of friends. Exhausted, terrified. They stand around the body of a sorcerer, Arunis. They have slain this foe, but not before he unleashed the Swarm of Night, an ever-growing cloud of annihilation that is even now spreading across the world of Alifros.Arunis summoned the Swarm using the Nilstone, an artifact from the land of the dead. And only the Nilstone has the power to banish the Swarm again. But to do this the friends, Pazel, Thasha, Neeps and the mage Ramachni, must pass through a deadly, war-torn world, by land and sea, to the very maw of death's kingdom. Only there, far from any hope of rescue, can the Nilstone be cast away.But the Nilstone is no longer a secret. The sorceress Macadra is searching for the travellers. And while they have only each other to rely on, Macadra has an empire at her command.",C:\Users\Joao\Calibre Library\Robert V. S. Redick\The Night of the Swarm (331)\cover.jpg,9780575097803,2012-10-25T14:14:37+01:00,Hachette UK,,,1.0,"Fiction, Fantasy, Epic, General, Urban, Juvenile Fiction, Fantasy & Magic",The Night of the Swarm,331
Robert McCammon,"An ancient evil roams the desolate landscape of an America ravaged by nuclear war.  He is the Man with the Scarlet Eye, a malevolent force that feeds on the dark desires of the countless followers he has gathered into his service. His only desire is to find a special child named Swan -- and destroy her. But those who would protect the girl are determined to fight for what is left of the worldŠand their souls.  In a wasteland born of rage, populated by monstrous creatures and marauding armies, the last survivors on earth have been drawn into the final battle between good and evil that will decide the fate of humanity....",C:\Users\Joao\Calibre Library\Robert McCammon\Swan Song (332)\cover.jpg,9780671741037,1987-06-01T14:35:57+01:00,Pocket Books,,,1.0,"Fiction, Modern & contemporary fiction (post c 1945), Modern fiction, Horror - General, Epic, Horror fiction, Fiction - Horror, General, Post Apocalypse, Horror, Good and evil, General & Literary Fiction, Science fiction, Nuclear warfare, Fantasy",Swan Song,332
Robert McCammon,"Don’t miss the thrilling novel from #1 New York Times bestselling award-winning author Robert McCammon, in a book that Publishers Weekly calls “both a mystery that will satisfy the most finicky aficionado and a boisterous travelogue.”Zephyr, Alabama, is an idyllic hometown for eleven-year-old Cory Mackenson—a place where monsters swim the river deep and friends are forever. Then, one cold spring morning, Cory and his father witness a car plunge into a lake—and a desperate rescue attempt brings his father face-to-face with a terrible vision of death that will haunt him forever. As Cory struggles to understand his father’s pain, his eyes are slowly opened to the forces of good and evil that are manifested in Zephyr. From an ancient, mystical woman who can hear the dead and bewitch the living, to a violent clan of moonshiners, Cory must confront the secrets that hide in the shadows of his hometown—for his father’s sanity and his own life hang in the balance.",C:\Users\Joao\Calibre Library\Robert McCammon\Boy's Life (333)\cover.jpg,9780671743055,1992-05-15T13:21:18+01:00,Simon and Schuster,,,1.0,"Suspense, Magic, Fiction, Children, Bildungsromans, Science Fiction & Fantasy, Coming of Age, Boys, Horror - General, General, Fiction - Horror, supernatural, Horror, Thrillers, Visionary & Metaphysical, Science fiction, Fantasy, Fathers and sons",Boy's Life,333
Robert M. Pirsig,"A narration of a summer motorcycle trip undertaken by a father and his son, Zen and the Art of Motorcycle Maintenance becomes a personal and philosophical odyssey into fundamental questions on how to live. The narrator's relationship with his son leads to a powerful self-reckoning; the craft of motorcycle maintenance leads to an austerely beautiful process for reconciling science, religion, and humanism. Resonant with the confusions of existence, this classic is a touching and transcendent book of life. This new edition contains an interview with Pirsig and letters and documents detailing how this extraordinary book came to be.This P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more.",C:\Users\Joao\Calibre Library\Robert M. Pirsig\Zen and the Art of Motorcycle Maint (334)\cover.jpg,9780060839871,2005-08-02T14:54:46+01:00,HarperCollins,,,1.0,"Essays & Travelogues, Values, Psychology, General, Zen, Parenting, Applied Psychology, Eastern, Fathers and sons, Conduct of life, Fiction, Emotions, Fatherhood, Pirsig, Self, Travel - General, Travel, Fathers and sons - United States, Philosophy, Robert M, Family & Relationships",Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,334
Robert Ludlum,"#1 NEW YORK TIMES BESTSELLER   At a small-town carnival, two men, each mysteriously summoned by telegram, witness a bizarre killing. The telegrams are signed “Jason Bourne.” Only they know Bourne’s true identity and understand that the telegrams are really a message from Bourne’s mortal enemy, Carlos, known also as the Jackal, the world’s deadliest and most elusive terrorist. And furthermore, they know what the Jackal wants: a final confrontation with Bourne. Now David Webb, professor of Oriental studies, husband, and father, must do what he hoped never to do again—assume the terrible identity of Jason Bourne. His plan is simple: to infiltrate the politically and economically omnipotent Medusan group and use himself as bait to lure the cunning Jackal into a deadly trap—a trap from which only one of them will escape.",C:\Users\Joao\Calibre Library\Robert Ludlum\The Bourne Ultimatum_ Jason Bourne (335)\cover.jpg,9780307813800,2012-08-14T13:21:14+01:00,Random House Publishing Group,,,1.0,"Fiction, Fiction - Espionage, Thriller, Intrigue, Action & Adventure, Thrillers, Espionage, Suspense, Non-Classifiable",The Bourne Ultimatum: Jason Bourne Book #3,335
Robert Ludlum,"""Terror is sweeping the globe. The Vice-Premier of the People's Republic has been brutally murdered by a legendary assassin and world leaders are asking questions: Why has Bourne come back? Who is paying him? Who will be his next target? US officials know a shocking truth: there is no Jason Bourne. There never was. But someone has resurrected the name, and if he is not stopped, the world will pay a devastating price. Jason Bourne must live again. He must utilise his murderous skills as, once more, he is plunged into a dangerous world. This time, the will to survive is not enough. This time, Bourne must reign supreme...""--Cover.",C:\Users\Joao\Calibre Library\Robert Ludlum\The Bourne Supremacy (336)\cover.jpg,9780752863887,2004-02-15T12:21:11+00:00,Orion,,,1.0,"Jason (Fictitious character), General, Adventure, Thrillers, Suspense, Bourne, Crime & Thriller, Assassination - China - Hong Kong - Fiction, Assassination, Fiction, Kowloon (Hong Kong, Thriller, Espionage & spy thriller, Kowloon (China), China), Suspense fiction - gsafd, Jason (Fictitious character) - Fiction, Action & Adventure, China) - Fiction, Espionage",The Bourne Supremacy,336
Robert Ludlum,"Jason Bourne. He has no past. And he may have no future. His memory is blank. He only knows that he was flushed out of the Mediterranean Sea, his body riddled with bullets. There are a few clues. A frame of microfilm surgically implanted beneath the flesh of his hip. Evidence that plastic surgery has altered his face. Strange things that he says in his delirium -- maybe code words. Initial: ""J.B."" And a number on the film negative that leads to a Swiss bank account, a fortune of four million dollars, and, at last, a name: Jason Bourne. But now he is marked for death, caught in a maddening puzzle, racing for survival through the deep layers of his buried past into a bizarre world of murderous conspirators -- led by Carlos, the world's most dangerous assassin. And no one can help Jason Bourne but the woman who once wanted to escape him.",C:\Users\Joao\Calibre Library\Robert Ludlum\The Bourne Identity_ A Novel (337)\cover.jpg,9780553593549,2009-02-15T13:38:55+00:00,Bantam Books,,,1.0,"Fiction, Fiction - Espionage, Bourne, Jason (Fictitious character), Thriller, Intrigue, General, Media Tie-In, Action & Adventure, Terrorists, Mystery, Adventure fiction, Thrillers, Espionage, Suspense",The Bourne Identity: A Novel,337
Robert Low,"A NATION WILL FIGHT FOR ITS FREEDOM. The first two books in Robert Low’s trilogy on the making of Scotland. THE LION WAKESIt is 1296 and Scotland is in turmoil. The old king, Alexander III, has died and Edward I of England, desperate to keep control of his northern borders, arranges for John Baliol, a weak man who Edward knows he can manipulate, to take leadership of Scotland. But unrest is rife and many are determined to throw off the shackles of England. Among those men is Robert the Bruce, young, angry and obsessed by his desire to win Scotland's throne. He will fight for the freedom of the Scots until the end. THE LION AT BAYA nation’s independence hangs in the balance. After fleeing to France following his defeat at the Battle of Falkirk, William Wallace has returned to Scottish soil to face his fate. But Robert the Bruce now stands between him and the crown. Warring factions, political intrigue and vicious battles threaten at every turn. Both men face uncertain futures, their efforts thwarted by shattered loyalties, superstition and rumour. In these troubled times, it is murder, treachery and the bitter rivalry amongst Scots nobility that will shape the long and bloody rise of Robert the Bruce to his coronation.",C:\Users\Joao\Calibre Library\Robert Low\The Kingdom Series Books 1 and 2_ T (338)\cover.jpg,9780007524266,2013-03-28T13:01:49+00:00,HarperCollins UK,,,1.0,"Fiction, Historical, General, War & Military, Anthologies (multiple authors), Political","The Kingdom Series Books 1 and 2: The Lion Wakes, the Lion at Bay",338
Robert Louis Stevenson,"Relive one of the greatest adventure stories of all time in this stunning, unabridged edition featuring bold, dynamic woodcuts by John Lawrence. FIFTEEN MEN ON A DEAD MAN'S CHEST -- YO-HO-HO AND A BOTTLE OF RUM! A treasure map where X marks the spot, a schooner set to sail, a onelegged seaman with a parrot on his shoulder, a boy whose bravery will be tested by murder, mutiny, and betrayal -- Robert Louis Stevenson's well-loved tale is the ultimate swashbuckling adventure. Sweeping a path from the sleepy English coast to the raging high seas to a tropical island concealing a buried treasure, this story of friendship and greed, loyalty and courage stars an unforgettable cast of characters: young Jim Hawkins, the terrifying Blind Pew, the wild man Ben Gunn, and one of literature's most dastardly villains, the charming, crafty, and utterly unscrupulous Long John Silver. Superbly illustrated by the celebrated John Lawrence, this is the definitive edition of an enduring classic.",C:\Users\Joao\Calibre Library\Robert Louis Stevenson\Treasure Island (339)\cover.jpg,9781434405951,2009-07-01T14:46:58+01:00,Wildside Press,,,1.0,"Fiction, Study & learning skills: general, Education & Teaching, Study Aids, Test Prep, Study & learning skills, Study Guides, Classics, Book Notes, Education, Bilingual Education",Treasure Island,339
Robert Low,"The long awaited return to Robert Low’s Oathsworn series Island of Mann, 979AD. A monk lies dying with a sworn secret he must pass onto Crowbone, the true heir to Norway’s throne, before he breathes his last. The monk’s words will decide the fate of a kingdom. But once the secret is revealed, Crowbone’s long-time enemy, Gunnhild, the Witch Mother of Kings, threatens his path to the crown and will stop at nothing to prevent him from attaining his royal destiny. Crowbone and his men must survive an unforgiving journey and face their sworn rival. It is a quest that will test the very bonds that tie the Oathsworn together.","C:\Users\Joao\Calibre Library\Robert Low\Crowbone (The Oathsworn Series, Boo (340)\cover.jpg",9780007486038,2012-09-13T13:35:07+01:00,HarperCollins UK,,,1.0,"Fiction, Historical, General, Fantasy, Epic, Thrillers, Action & Adventure, Classics","Crowbone (The Oathsworn Series, Book 5)",340
Robert Leckie,"Penguin delivers you to the front lines of The Pacific Theater with the real-life stories behind the HBO miniseries. Former Marine and Pacific War veteran Robert Leckie tells the story of the invasion of Okinawa, the closing battle of World War II. Leckie is a skilled military historian, mixing battle strategy and analysis with portraits of the men who fought on both sides to give the reader a complete account of the invasion. Lasting 83 days and surpassing D-Day in both troops and material used, the Battle of Okinawa was a decisive victory for the Allies, and a huge blow to Japan. In this stirring and readable account, Leckie provides a complete picture of the battle and its context in the larger war.",C:\Users\Joao\Calibre Library\Robert Leckie\Okinawa_ The Last Battle of World W (341)\cover.jpg,9780140173895,1996-02-15T13:16:54+00:00,Penguin Books,,,1.0,"Military History, Asian history, Okinawa Island (Japan), General, Campaigns, History: American, Military - World War II, World War II, Battles & campaigns, Second World War, War, Okinawa Island (Japan) - History, Japan, 1939-1945, Okinawa Island, History, 1939-1945 - Campaigns - Japan - Okinawa Island, History - Military, Military, Asia, World War",Okinawa: The Last Battle of World War II,341
Robert T. Kiyosaki,"In Rich Dad Poor Dad, the #1 Personal Finance book of all time, Robert Kiyosaki shares the story of his two dad: his real father, whom he calls his poor dad,’ and the father of his best friend, the man who became his mentor and his rich dad.’ One man was well educated and an employee all his life, the other’s education was street smarts” over traditional classroom education and he took the path of entrepreneurship a road that led him to become one of the wealthiest men in Hawaii. Robert’s poor dad struggled financially all his life, and these two dads these very different points of view of money, investing, and employment shaped Robert’s thinking about money. Robert has challenged and changed the way tens of millions of people, around the world, think about money and investing and he has become a global advocate for financial education and the path to financial freedom. Rich Dad Poor Dad (and the Rich Dad series it spawned) has sold over 36 million copies in English and translated editions around the world. Rich Dad Poor Dad will   explode the myth that you need to earn a high income to become rich  challenge the belief that your house is an asset  show parents why they can’t rely on the school system to teach their kids about money  define, once and for all, an asset and a liability  explain the difference between good debt and bad debt  teach you to see the world of money from different perspectives  discuss the shift in mindset that can put you on the road to financial freedom","C:\Users\Joao\Calibre Library\Robert T. Kiyosaki\Rich Dad, Poor Dad_ What the Rich T (342)\cover.jpg",9781365108105,2019-05-25T14:27:26+01:00,Scribl,,,1.0,"Business & Economics, Business Mathematics, SELF-HELP, Personal Growth, Success, Motivational & Inspirational, Self-Esteem","Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money",342
Robert Leckie,"Here is one of the most riveting first-person accounts ever to come out of World War II. Robert Leckie enlisted in the United States Marine Corps in January 1942, shortly after the Japanese attack on Pearl Harbor. In Helmet for My Pillow we follow his odyssey, from basic training on Parris Island, South Carolina, all the way to the raging battles in the Pacific, where some of the war's fiercest fighting took place. Recounting his service with the 1st Marine Division and the brutal action on Guadalcanal, New Britain, and Peleliu, Leckie spares no detail of the horrors and sacrifices of war, painting an unvarnished portrait of how real warriors are made, fight, and often die in the defense of their country.       From the live-for-today rowdiness of marines on leave to the terrors of jungle warfare against an enemy determined to fight to the last man, Leckie describes what war is really like when victory can only be measured inch by bloody inch. Woven throughout are Leckie's hard-won, eloquent, and thoroughly unsentimental meditations on the meaning of war and why we fight. Unparalleled in its immediacy and accuracy, Helmet for My Pillow will leave no reader untouched. This is a book that brings you as close to the mud, the blood, and the experience of war as it is safe to come.    Now producers Tom Hanks, Steven Spielberg, and Gary Goetzman, the men behind Band of Brothers, have adapted material from Helmet for My Pillow for HBO's epic miniseries The Pacific, which will thrill and edify a whole new generation.",C:\Users\Joao\Calibre Library\Robert Leckie\Helmet for My Pillow_ From Parris I (343)\cover.jpg,9780553593310,2010-02-15T12:53:09+00:00,Bantam Books Trade Paperbacks,,,1.0,"Biography & Autobiography, Personal narratives, Personal Memoirs, General, Campaigns, Leckie, Military - World War II, World War II, Military - United States, 1920-, Biography, American, Robert, 1939-1945, Autobiography, Pacific Area, History, Veterans, United States, Military, World War",Helmet for My Pillow: From Parris Island to the Pacific,343
רוברט ג'ורדן,"The Wheel of Time ® is a PBS Great American Read Selection! Now in development for TV! Since its debut in 1990, The Wheel of Time® by Robert Jordan has captivated millions of readers around the globe with its scope, originality, and compelling characters.The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow.The dead are walking, men die impossible deaths, and it seems as though reality itself has become unstable: All are signs of the imminence of Tarmon Gai'don, the Last Battle, when Rand al'Thor, the Dragon Reborn, must confront the Dark One as humanity's only hope. Unbeknownst to Rand, Perrin has made his own truce with the Seanchan. It is a deal made with the Dark One, in his eyes, but he will do whatever is needed to rescue his wife, Faile, and destroy the Shaido who captured her. Among the Shaido, Faile works to free herself while hiding a secret that might give her her freedom or cause her destruction. And at a town called Malden, the Two Rivers longbow will be matched against Shaido spears.Fleeing Ebou Dar through Seanchan-controlled Altara with the kidnapped Daughter of the Nine Moons, Mat attempts to court the woman to whom he is half-married, knowing that she will complete that ceremony eventually. But Tuon coolly leads him on a merry chase as he learns that even a gift can have deep significance among the Seanchan Blood and what he thinks he knows of women is not enough to save him.In Caemlyn, Elayne fights to gain the Lion Throne while trying to avert what seems a certain civil war should she win the crown...In the White Tower, Egwene struggles to undermine the sisters loyal to Elaida from within...The winds of time have become a storm, and things that everyone believes are fixed in place forever are changing before their eyes. Even the White Tower itself is no longer a place of safety. Now Rand, Perrin and Mat, Egwene and Elayne, Nynaeve and Lan, and even Loial, must ride those storm winds, or the Dark One will triumph.TV series update: ""Sony will produce along with Red Eagle Entertainment and Radar Pictures. Rafe Judkins is attached to write and executive produce. Judkins previously worked on shows such as ABC’s “Agents of SHIELD,” the Netflix series “Hemlock Grove,” and the NBC series “Chuck.” Red Eagle partners Rick Selvage and Larry Mondragon will executive produce along with Radar’s Ted Field and Mike Weber. Darren Lemke will also executive produce, with Jordan’s widow Harriet McDougal serving as consulting producer."" —VarietyThe Wheel of Time®New Spring: The Novel#1 The Eye of the World#2 The Great Hunt#3 The Dragon Reborn#4 The Shadow Rising#5 The Fires of Heaven#6 Lord of Chaos#7 A Crown of Swords#8 The Path of Daggers#9 Winter's Heart#10 Crossroads of Twilight#11 Knife of DreamsBy Robert Jordan and Brandon Sanderson#12 The Gathering Storm#13 Towers of Midnight#14 A Memory of LightBy Robert Jordan Warrior of the AltaiiBy Robert Jordan and Teresa PattersonThe World of Robert Jordan's The Wheel of TimeBy Robert Jordan, Harriet McDougal, Alan Romanczuk, and Maria SimonsThe Wheel of Time CompanionBy Robert Jordan and Amy RomanczukPatterns of the Wheel: Coloring Art Based on Robert Jordan's The Wheel of Time",C:\Users\Joao\Calibre Library\rvbrt g'vrdn\Knife of Dreams_ Book Eleven of 'Th (344)\cover.jpg,9780312873073,2005-10-11T14:52:50+01:00,Tom Doherty Associates,,,1.0,"Fiction, Fantasy, General, Epic, Action & Adventure",Knife of Dreams: Book Eleven of 'The Wheel of Time',344
Robert Jordan,"The Wheel of Time Premium Boxed Set IV includes volumes ten, eleven, and twelve of The Wheel of Time(R), Robert Jordan's internationally bestselling fantasy series, now available in premium mass market editions with striking new cover art. The Wheel of Time (R) is a PBS Great American Read Selection! Now in development for TV! Since its debut in 1990, The Wheel of Time by Robert Jordan has captivated millions of readers around the globe with its scope, originality, and compelling characters. The Wheel of Time turns and Ages come and pass. What was, what will be, and what is, may yet fall under the Shadow. Let the dragon ride again on the winds of time. This boxed set contains: Book Ten: Crossroads of TwilightBook Eleven: Knife of DreamsBook Twelve: The Gathering Storm *** TV series update: Sony will produce along with Red Eagle Entertainment and Radar Pictures. Rafe Judkins is attached to write and executive produce. Judkins previously worked on shows such as ABC's Agents of SHIELD, the Netflix series Hemlock Grove, and the NBC series Chuck. Red Eagle partners Rick Selvage and Larry Mondragon will executive produce along with Radar's Ted Field and Mike Weber. Darren Lemke will also executive produce, with Jordan's widow Harriet McDougal serving as consulting producer. --Variety The Wheel of Time(R)New Spring: The Novel#1 The Eye of the World#2 The Great Hunt#3 The Dragon Reborn#4 The Shadow Rising#5 The Fires of Heaven#6 Lord of Chaos#7 A Crown of Swords#8 The Path of Daggers#9 Winter's Heart#10 Crossroads of Twilight#11 Knife of Dreams By Robert Jordan and Brandon Sanderson#12 The Gathering Storm#13 Towers of Midnight#14 A Memory of Light By Robert Jordan and Teresa PattersonThe World of Robert Jordan's The Wheel of Time By Robert Jordan, Harriet McDougal, Alan Romanczuk, and Maria SimonsThe Wheel of Time Companion By Robert Jordan and Amy RomanczukPatterns of the Wheel: Coloring Art Based on Robert Jordan's The Wheel of Time",C:\Users\Joao\Calibre Library\Robert Jordan\Wheel of Time Premium Boxed Set IV_ (345)\cover.jpg,9781250256270,2020-04-28T14:52:49+01:00,Tor Books,,,1.0,"Fiction, Fantasy, Epic, Action & Adventure","Wheel of Time Premium Boxed Set IV: Books 10-12 (Crossroads of Twilight, Knife of Dreams, the Gathering Storm)",345
Robert Jordan,"The Wheel of Time ® is a PBS Great American Read Selection! Now in development for TV! Since its debut in 1990, The Wheel of Time® by Robert Jordan has captivated millions of readers around the globe with its scope, originality, and compelling characters.The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow.Rand is on the run with Min, and in Cairhein, Cadsuane is trying to figure out where he is headed. Rand's destination is, in fact, one she has never considered.Mazrim Taim, leader of the Black Tower, is revealed to be a liar. But what is he up to?Faile, with the Aiel Maidens, Bain and Chiad, and her companions, Queen Alliandre and Morgase, is prisoner of Savanna's sept.Perrin is desperately searching for Faile. With Elyas Machera, Berelain, the Prophet and a very mixed ""army"" of disparate forces, he is moving through country rife with bandits and roving Seanchan. The Forsaken are ever more present, and united, and the man called Slayer stalks Tel'aran'rhiod and the wolfdream.In Ebou Dar, the Seanchan princess known as Daughter of the Nine Moons arrives--and Mat, who had been recuperating in the Tarasin Palace, is introduced to her. Will the marriage that has been foretold come about?TV series update: ""Sony will produce along with Red Eagle Entertainment and Radar Pictures. Rafe Judkins is attached to write and executive produce. Judkins previously worked on shows such as ABC’s “Agents of SHIELD,” the Netflix series “Hemlock Grove,” and the NBC series “Chuck.” Red Eagle partners Rick Selvage and Larry Mondragon will executive produce along with Radar’s Ted Field and Mike Weber. Darren Lemke will also executive produce, with Jordan’s widow Harriet McDougal serving as consulting producer."" —VarietyThe Wheel of Time®New Spring: The Novel#1 The Eye of the World#2 The Great Hunt#3 The Dragon Reborn#4 The Shadow Rising#5 The Fires of Heaven#6 Lord of Chaos#7 A Crown of Swords#8 The Path of Daggers#9 Winter's Heart#10 Crossroads of Twilight#11 Knife of DreamsBy Robert Jordan and Brandon Sanderson#12 The Gathering Storm#13 Towers of Midnight#14 A Memory of LightBy Robert Jordan and Teresa PattersonThe World of Robert Jordan's The Wheel of TimeBy Robert Jordan, Harriet McDougal, Alan Romanczuk, and Maria SimonsThe Wheel of Time CompanionBy Robert Jordan and Amy RomanczukPatterns of the Wheel: Coloring Art Based on Robert Jordan's The Wheel of Time",C:\Users\Joao\Calibre Library\Robert Jordan\Winter's Heart_ Book Nine of 'The W (346)\cover.jpg,9780812575583,2002-01-07T13:52:47+00:00,Tom Doherty Associates,,,1.0,"Fiction, Fantasy, General, Epic, Action & Adventure",Winter's Heart: Book Nine of 'The Wheel of Time',346
Robert Jordan,,C:\Users\Joao\Calibre Library\Robert Jordan\Boekblad (347)\cover.jpg,9780671022617,1999-04-15T14:52:46+01:00,Vereeniging ter Bevordering van de Belangen des Boekhandels,,,1.0,,Boekblad,347
Robert Jordan,"The Wheel of Time ® is a PBS Great American Read Selection! Now in development for TV! Since its debut in 1990, The Wheel of Time® by Robert Jordan has captivated millions of readers around the globe with its scope, originality, and compelling characters.The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow.Elayne, Aviendha, and Mat come ever closer to the bowl ter'angreal that may reverse the world's endless heat wave and restore natural weather. Egwene begins to gather all manner of women who can channel--Sea Folk, Windfinders, Wise Ones, and some surprising others. And above all, Rand faces the dread Forsaken Sammael, in the shadows of Shadar Logoth, where the blood-hungry mist, Mashadar, waits for prey.TV series update: ""Sony will produce along with Red Eagle Entertainment and Radar Pictures. Rafe Judkins is attached to write and executive produce. Judkins previously worked on shows such as ABC’s “Agents of SHIELD,” the Netflix series “Hemlock Grove,” and the NBC series “Chuck.” Red Eagle partners Rick Selvage and Larry Mondragon will executive produce along with Radar’s Ted Field and Mike Weber. Darren Lemke will also executive produce, with Jordan’s widow Harriet McDougal serving as consulting producer."" —VarietyThe Wheel of Time®New Spring: The Novel#1 The Eye of the World#2 The Great Hunt#3 The Dragon Reborn#4 The Shadow Rising#5 The Fires of Heaven#6 Lord of Chaos#7 A Crown of Swords#8 The Path of Daggers#9 Winter's Heart#10 Crossroads of Twilight#11 Knife of DreamsBy Robert Jordan and Brandon Sanderson#12 The Gathering Storm#13 Towers of Midnight#14 A Memory of LightBy Robert Jordan and Teresa PattersonThe World of Robert Jordan's The Wheel of TimeBy Robert Jordan, Harriet McDougal, Alan Romanczuk, and Maria SimonsThe Wheel of Time CompanionBy Robert Jordan and Amy RomanczukPatterns of the Wheel: Coloring Art Based on Robert Jordan's The Wheel of Time",C:\Users\Joao\Calibre Library\Robert Jordan\A Crown of Swords_ Book Seven of 'T (348)\cover.jpg,9780812550283,1997-11-15T13:52:44+00:00,Tom Doherty Associates,,,1.0,"Fiction, Fantasy, Epic, Action & Adventure",A Crown of Swords: Book Seven of 'The Wheel of Time',348
Robert Jordan,"The Wheel of Time ® is a PBS Great American Read Selection! Now in development for TV! Since its debut in 1990, The Wheel of Time® by Robert Jordan has captivated millions of readers around the globe with its scope, originality, and compelling characters.The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow.On the slopes of Shayol Ghul, the Myrddraal swords are forged, and the sky is not the sky of this world;In Salidar the White Tower in exile prepares an embassy to Caemlyn, where Rand Al'Thor, the Dragon Reborn, holds the throne--and where an unexpected visitor may change the world....In Emond's Field, Perrin Goldeneyes, Lord of the Two Rivers, feels the pull of ta'veren to ta'veren and prepares to march...Morgase of Caemlyn finds a most unexpected, and quite unwelcome, ally....And south lies Illian, where Sammael holds sway...TV series update: ""Sony will produce along with Red Eagle Entertainment and Radar Pictures. Rafe Judkins is attached to write and executive produce. Judkins previously worked on shows such as ABC’s “Agents of SHIELD,” the Netflix series “Hemlock Grove,” and the NBC series “Chuck.” Red Eagle partners Rick Selvage and Larry Mondragon will executive produce along with Radar’s Ted Field and Mike Weber. Darren Lemke will also executive produce, with Jordan’s widow Harriet McDougal serving as consulting producer."" —VarietyThe Wheel of Time®New Spring: The Novel#1 The Eye of the World#2 The Great Hunt#3 The Dragon Reborn#4 The Shadow Rising#5 The Fires of Heaven#6 Lord of Chaos#7 A Crown of Swords#8 The Path of Daggers#9 Winter's Heart#10 Crossroads of Twilight#11 Knife of DreamsBy Robert Jordan and Brandon Sanderson#12 The Gathering Storm#13 Towers of Midnight#14 A Memory of LightBy Robert Jordan and Teresa PattersonThe World of Robert Jordan's The Wheel of TimeBy Robert Jordan, Harriet McDougal, Alan Romanczuk, and Maria SimonsThe Wheel of Time CompanionBy Robert Jordan and Amy RomanczukPatterns of the Wheel: Coloring Art Based on Robert Jordan's The Wheel of Time",C:\Users\Joao\Calibre Library\Robert Jordan\Lord of Chaos_ Book Six of 'The Whe (349)\cover.jpg,9780812513752,1995-11-15T13:52:42+00:00,Tom Doherty Associates,,,1.0,"Fiction, Fantasy, Epic, Action & Adventure",Lord of Chaos: Book Six of 'The Wheel of Time',349
